mc	logL
1.22569652916292650000e+15       -7.414339e-04
4.01786558696123437500e+13       -2.489391e-06
2.73463004833588437500e+13       -1.310987e-06
6.49655267943875195312e+12       -1.194646e-07
2.18119941585117968750e+12       -1.937581e-08
1.59583785995932690430e+12       -1.151018e-08
1.38725793437522583008e+12       -9.113731e-09
8.90258863072981201172e+11       -4.351390e-09
8.46670181568915405273e+11       -4.002131e-09
8.19082878992916748047e+11       -3.787162e-09
7.50734937296971557617e+11       -3.275256e-09
1.64449296607368103027e+11       -2.607079e-10
9.51816746453669128418e+10       -1.047988e-10
5.05350035152980499268e+10       -3.648279e-11
4.58995461472503280640e+10       -3.107765e-11
1.20669168459589786530e+10       -3.352958e-12
1.01157328935859584808e+10       -2.498982e-12
6.76102048570248508453e+09       -1.276795e-12
2.26107726610985565186e+09       -2.057279e-13
5.72921641897140383720e+08       -2.087339e-14
9.87549908180547803640e+07       -1.114379e-15
6.12619015675867423415e+07       -5.028260e-16
5.45798762582326307893e+07       -4.147834e-16
5.13757110293173864484e+07       -3.750003e-16
5.00928834042776972055e+07       -3.595240e-16
2.93604792692012637854e+07       -1.475840e-16
2.90761857984656691551e+07       -1.452101e-16
2.79180980545258037746e+07       -1.356988e-16
2.58133652677068822086e+07       -1.190809e-16
1.89968228310568518937e+07       -7.143369e-17
1.86488745080138593912e+07       -6.926617e-17
1.66723408080206811428e+07       -5.746847e-17
1.39243604699993319809e+07       -4.256561e-17
1.37436606046904847026e+07       -4.164911e-17
1.33942399921624138951e+07       -3.989919e-17
1.29401677668731864542e+07       -3.767020e-17
1.02119102144484743476e+07       -2.538694e-17
6.08981088682028464973e+06       -1.072595e-17
5.99806014361028093845e+06       -1.045815e-17
5.19553577417045086622e+06       -8.231605e-18
4.91568850911692343652e+06       -7.506024e-18
4.65674097186824120581e+06       -6.858624e-18
2.72380554752042749897e+06       -2.805803e-18
2.17328993832015944645e+06       -1.925882e-18
1.81279512004788499326e+06       -1.423473e-18
1.42259243807504489087e+06       -9.503950e-19
1.41930414082580269314e+06       -9.466828e-19
1.25790004014930198900e+06       -7.741815e-19
1.22738954511564434506e+06       -7.431264e-19
1.16814841622449527495e+06       -6.843117e-19
1.15367737924448261037e+06       -6.702200e-19
9.72291628147074487060e+05       -5.039819e-19
9.62796204208570532501e+05       -4.957940e-19
9.38893370420204009861e+05       -4.754855e-19
9.32053417413929360919e+05       -4.696760e-19
7.47486617921644472517e+05       -3.251779e-19
7.24498555553989950567e+05       -3.086855e-19
7.15609792950555565767e+05       -3.023685e-19
6.51549773818377405405e+05       -2.586325e-19
4.91167045547964109574e+05       -1.614992e-19
3.96962804453429183923e+05       -1.132358e-19
3.53241850791161297821e+05       -9.323064e-20
3.48326130160292726941e+05       -9.107530e-20
3.36333322261101740878e+05       -8.590422e-20
3.31720450405639596283e+05       -8.395878e-20
3.28719300211785652209e+05       -8.268873e-20
3.20181766160732717253e+05       -7.915139e-20
3.07251824099353980273e+05       -7.388579e-20
2.99885639471925213002e+05       -7.096273e-20
2.78237493543513526674e+05       -6.264071e-20
1.78939029128802067135e+05       -3.000886e-20
1.74819981567637354601e+05       -2.886604e-20
1.51173260867601697100e+05       -2.265310e-20
1.37003328417789191008e+05       -1.922580e-20
1.24715649993956714752e+05       -1.644233e-20
1.15594150851610698737e+05       -1.448747e-20
9.62453062458195636282e+04       -1.067558e-20
9.03519178353839233750e+04       -9.603927e-21
7.59328202236069191713e+04       -7.190003e-21
6.64622224187446990982e+04       -5.761729e-21
6.04987587511416859343e+04       -4.926021e-21
5.70910476081504530157e+04       -4.471798e-21
5.24325219145630981075e+04       -3.877677e-21
4.97177014569527163985e+04       -3.550252e-21
4.82566916768655137275e+04       -3.377378e-21
4.74525656726729066577e+04       -3.283548e-21
4.62314433265362677048e+04       -3.145299e-21
4.58435275071060386836e+04       -3.102818e-21
4.58391638671167238499e+04       -3.102363e-21
4.32749651614398826496e+04       -2.817050e-21
4.29174924099621493951e+04       -2.780199e-21
3.78971585989449959015e+04       -2.257496e-21
3.46733274350456558750e+04       -1.946618e-21
3.34977606159635906806e+04       -1.837961e-21
3.25055396903624241531e+04       -1.748632e-21
3.20767603363206544600e+04       -1.708598e-21
3.20427766864455734321e+04       -1.705438e-21
3.04534615534302756714e+04       -1.568084e-21
2.93053604823009409301e+04       -1.469816e-21
2.88943179383036185754e+04       -1.438848e-21
2.87991361256097516161e+04       -1.429722e-21
2.58784649506235364242e+04       -1.195609e-21
2.49745575253831739246e+04       -1.126587e-21
